unit_1,unit_2,unit_3
-5.115724360822182,-33.5028767683837,-9.716144196444885
-4.182669072124949,-32.70269970537249,-6.384474177498712
-2.9194148661762536,-31.58469280015928,-2.5067422502862136
-1.259627511162137,-30.096624286763777,1.9816725861332702
0.8660746667710163,-28.18584573322072,7.143013638840301
3.5281782190631445,-25.800924585520196,13.034845276553387
6.79594654662734,-22.893793387449016,19.707672333345734
10.734693178445552,-19.422315629801943,27.20232339293409
15.402551216759342,-15.353110914239272,35.546829736637854
20.84671924108257,-10.664505929189303,44.7530510212755
27.09933182644952,-5.34946348791092,54.813540399001496
34.17326191129446,0.5818913391794401,65.69885060764574
42.058255044112904,7.100527877486343,77.35540944609085
50.71785025897887,14.15768801370851,89.70438303777972
60.0875829738427,21.685053926846177,102.64196070362681
70.07485596741185,29.595946208790824,116.0410564146185
80.5605446755431,37.78745016910774,129.7540407278756
91.40207091028758,46.143287976149786,143.61606119279082
102.43757961752006,54.537266787570026,157.44869369884603
113.4909087774856,62.83714118599206,171.06404296772826
124.37704004223991,70.908651055911,184.26950714383582
134.9077284164285,78.61939003534088,196.87291634144034
144.8970734679005,85.84228236179369,208.68754658564347
154.1668205419284,92.45874135404503,219.5369375981628
162.55120841781581,98.36174501176986,229.25950253216587
169.90122857533285,103.45893934837817,237.71251928049898
176.08821359496594,107.6756358129061,244.77511354187496
181.006682465205,110.95742745001075,250.35031390302794
184.5763434037785,113.27199715543652,254.3664687992955
186.7432222772439,114.60969389657075,256.7781531191917
187.47996877077412,114.98286772038013,257.566495864892
186.7854069106876,114.42433038867743,256.73880638152406
184.68342691606443,112.9852575616056,254.32750636680842
181.22129286532774,110.73267554613075,250.3884412603519
176.46740419938155,107.7466335239563,244.99856685179523
170.5086458969239,104.11708340306048,238.25309843038525
163.44753022034956,99.94047506613587,230.26248096904985
155.3992181718655,95.31630299509497,221.14951507660686
146.48842389462197,90.34398183059908,211.04657859960994
136.8463035471901,85.12036948621942,200.09277887596227
126.60748668001854,79.73794364647685,188.43118682963376
115.90729702517599,74.28312784829141,176.20628788255468
104.87911822600105,68.83438146421443,163.561350012809
93.65189078047598,63.46036268782318,150.63542594823622
82.34779773896547,58.21864330348666,137.5602717183652
71.08028046122229,53.15501362146375,124.45776939984859
59.95254861578442,48.303180244175216,111.4382893850914
49.05658272864922,43.684976363434956,98.60008134210115
38.47249974612652,39.31139773387398,86.02939627642185
28.268250663212545,35.18423572439052,73.80086776148427
18.49967057266895,31.297605970241413,61.977803094633224
9.210835241924924,27.639105055037113,50.61231357496991
0.43468743529306036,24.19097838522694,39.745486778586056
-7.80608103921341,20.931591913180284,29.407893562734504
-15.497974082824895,17.83695566756167,19.620580011070615
-22.63561660245106,14.881990475435114,10.396391112789505
-29.220752084400477,12.04165480949759,1.7411465705548144
-35.261266585332066,9.292103178149016,-6.345746186513422
-40.77020492071699,6.611716175241184,-13.871018251926264
-45.764842437614675,3.9817907917249107,-20.846968871998776
